commit_num,num_votes,num_yes_votes,perc_yes_votes
1,193,193,1.0
2,524,517,0.9866412213740458
3,595,588,0.9882352941176471
4,1056,1049,0.9933712121212122
5,1319,1288,0.976497346474602
6,1333,1302,0.9767441860465116
7,1384,1353,0.9776011560693642
8,1519,1488,0.9795918367346939
9,1542,1511,0.9798962386511024
10,1568,1537,0.9802295918367347
11,2785,2754,0.9888689407540395
12,2878,2847,0.9892286309937457
13,2905,2874,0.9893287435456111
14,2948,2917,0.9894843962008141
15,2962,2931,0.9895340985820391
16,2981,2950,0.9896008050989601
17,2990,2959,0.9896321070234114
18,3130,3099,0.9900958466453674
19,3138,3107,0.9901210962396431
20,3241,3210,0.9904350509102129
21,3409,3378,0.9909064241713113
22,3449,3418,0.9910118875036242
23,3515,3484,0.9911806543385491
24,3677,3646,0.9915692140331792
25,3720,3689,0.9916666666666667
26,4262,3727,0.8744720788362271
27,4289,3754,0.8752622989041735
28,4312,3777,0.8759276437847866
29,4537,3933,0.866872382631695
30,4583,3958,0.863626445559677
31,4615,3990,0.8645720476706392
32,4704,4058,0.8626700680272109
33,4725,4079,0.8632804232804233
34,4748,4102,0.8639427127211458
35,4778,4132,0.864796986186689
36,4788,4142,0.8650793650793651
37,4798,4152,0.8653605669028762
38,4805,4159,0.8655567117585848
39,4865,4219,0.8672147995889004
40,4888,4242,0.8678396072013094
41,4896,4250,0.8680555555555556
42,4897,4251,0.8680824994894834
43,4935,4289,0.8690982776089159
44,4939,4293,0.8692042923668759
45,5085,4439,0.8729596853490659
46,5102,4456,0.8733829870638965
47,5126,4469,0.8718298868513461
48,5127,4470,0.871854885898186
49,5128,4471,0.8718798751950078
50,5132,4475,0.8719797349961029
51,9841,9184,0.9332384920231683
52,9860,9203,0.9333671399594321
53,9867,9210,0.9334144116752813
54,9880,9222,0.9334008097165992
55,9889,9222,0.9325513196480938
56,9901,9234,0.9326330673669326
57,9976,9268,0.9290296712109062
58,9992,9284,0.9291433146517214
59,10012,9304,0.9292848581701958
60,10030,9322,0.9294117647058824
61,10048,9340,0.9295382165605095
62,10087,9379,0.9298106473678993
63,10126,9418,0.9300809796563302
64,10161,9453,0.9303218187186301
65,10177,9469,0.9304313648422914
66,10192,9484,0.9305337519623234
67,10211,9503,0.9306630104788953
68,10235,9527,0.9308255984367367
69,10266,9558,0.9310344827586207
70,10280,9572,0.9311284046692607
71,10293,9585,0.931215389099388
72,10307,9599,0.9313088192490541
73,10322,9614,0.9314086417360976
74,10334,9626,0.931488291077995
75,10346,9638,0.9315677556543591
76,10355,9647,0.9316272332206663
77,10367,9659,0.9317063760007717
78,10379,9671,0.9317853357741593
79,10389,9681,0.9318509962460294
80,10400,9692,0.931923076923077
81,10406,9698,0.9319623294253315
82,10409,9701,0.9319819387068883
83,10414,9706,0.9320145957365086
84,10419,9711,0.9320472214224014
85,10426,9718,0.9320928448110493
86,10437,9729,0.9321644150617994
87,10446,9738,0.9322228604250431
88,10452,9744,0.9322617680826636
89,10460,9752,0.9323135755258126
90,10467,9759,0.9323588420750931
91,10479,9771,0.9324363011737761
92,10492,9784,0.9325200152497141
93,10499,9791,0.9325650061910659
94,10506,9798,0.932609937178755
95,10515,9807,0.9326676176890157
96,10521,9813,0.9327060165383518
97,10526,9818,0.9327379821394642
98,10534,9826,0.9327890639832922
99,10543,9835,0.9328464383951437
100,10674,9966,0.9336706014614953
101,10681,9973,0.9337140717161314
102,10695,9987,0.9338008415147265
103,10729,10021,0.9340106254077734
104,10737,10029,0.9340597932383348
105,10744,10036,0.9341027550260611
106,10750,10042,0.9341395348837209
107,10757,10049,0.934182392860463
108,10763,10055,0.9342190838985412
109,10769,10061,0.9342557340514439
110,10780,10072,0.9343228200371058
111,10785,10077,0.9343532684283727
112,10789,10081,0.9343776068217629
113,10871,10163,0.9348725968172201
114,10893,10185,0.9350041310933627
115,10936,10228,0.9352596927578639
116,10939,10231,0.9352774476643203
117,10943,10235,0.9353011057296902
118,10982,10274,0.935530868694227
119,11012,10304,0.9357065019978206
120,11045,10337,0.9358985966500679
121,11062,10354,0.9359971072138854
122,11136,10428,0.9364224137931034
123,11213,10505,0.9368590029430126
124,11291,10583,0.9372951908599769
125,11364,10656,0.9376979936642027
126,11408,10700,0.9379382889200562
127,11420,10712,0.9380035026269702
128,11425,10717,0.9380306345733042
129,11529,10821,0.9385896435076763
130,11575,10867,0.9388336933045356
131,11620,10912,0.9390705679862307
132,11671,10963,0.9393368177534058
133,11726,11018,0.9396213542555006
134,11788,11080,0.9399389209365456
135,11792,11084,0.9399592944369064
136,11834,11126,0.9401723846543857
137,11878,11170,0.9403940057248695
138,11892,11184,0.9404641775983855
139,11940,11211,0.9389447236180904
140,11968,11239,0.9390875668449198
141,11998,11269,0.9392398733122187
142,12061,11332,0.9395572506425669
143,12135,11406,0.9399258343634116
144,12192,11463,0.9402066929133859
145,12204,11475,0.9402654867256637
146,12205,11475,0.9401884473576403
147,12217,11487,0.9402471965294262
148,12269,11520,0.9389518298149808
149,12288,11539,0.9390462239583334
150,12298,11549,0.9390957879329972
151,12315,11566,0.939179861956963
152,12559,11808,0.9402022454017039
153,12594,11843,0.9403684294108305
154,12637,11883,0.9403339400174092
155,12674,11920,0.940508126873915
156,12745,11991,0.9408395449195763
