commit_num,num_votes,num_yes_votes,perc_yes_votes
1,217,0,0.0
2,387,0,0.0
3,437,0,0.0
4,482,0,0.0
5,533,0,0.0
6,582,0,0.0
7,653,4,0.006125574272588055
8,735,6,0.00816326530612245
9,760,6,0.007894736842105263
10,786,6,0.007633587786259542
11,814,7,0.0085995085995086
12,851,7,0.008225616921269096
13,883,7,0.007927519818799546
14,976,8,0.00819672131147541
15,1316,8,0.0060790273556231
16,1355,15,0.01107011070110701
17,1519,130,0.08558262014483213
18,1547,130,0.08403361344537816
19,1584,130,0.08207070707070707
20,1605,130,0.08099688473520249
21,1706,133,0.0779601406799531
22,1714,133,0.07759626604434072
23,1755,133,0.07578347578347579
24,1793,133,0.07417735638594534
25,2108,133,0.06309297912713473
26,2246,175,0.07791629563668745
27,2339,193,0.08251389482684908
28,2430,195,0.08024691358024691
29,2506,195,0.07781324820430965
30,2597,195,0.07508663842895649
31,2632,195,0.07408814589665653
32,2672,195,0.07297904191616766
33,2731,198,0.07250091541559868
34,2767,198,0.07155764365739067
35,2888,198,0.0685595567867036
36,2930,209,0.07133105802047782
37,2955,209,0.07072758037225042
38,2990,209,0.06989966555183946
39,3019,209,0.06922822126531965
40,3054,209,0.06843483955468238
41,3093,209,0.06757193663110249
42,3130,209,0.06677316293929712
43,3185,209,0.06562009419152276
44,3223,209,0.06484641638225255
45,3680,209,0.05679347826086956
46,3738,209,0.05591225254146603
47,3817,209,0.05475504322766571
48,3872,209,0.05397727272727273
49,3913,209,0.053411704574495275
50,3980,209,0.05251256281407035
51,3983,209,0.05247301029374843
52,3987,209,0.05242036619011788
53,3998,209,0.052276138069034514
54,4129,288,0.06975054492613224
55,4153,288,0.0693474596677101
56,4163,288,0.06918087917367283
57,4167,288,0.06911447084233262
58,4180,288,0.06889952153110047
59,4186,288,0.06880076445293837
60,4194,288,0.06866952789699571
61,4200,288,0.06857142857142857
62,4205,288,0.06848989298454221
63,4210,288,0.0684085510688836
64,4245,318,0.07491166077738516
65,4249,318,0.07484113909155095
66,4255,318,0.07473560517038778
67,4263,318,0.07459535538353272
68,4266,318,0.07454289732770746
69,4272,318,0.07443820224719101
70,4282,318,0.07426436244745446
71,4291,318,0.07410859939408064
72,4296,318,0.07402234636871509
73,4347,318,0.07315389924085576
74,4350,318,0.07310344827586207
75,4451,414,0.09301280611098629
76,4578,414,0.09043250327653997
77,4612,414,0.08976582827406765
78,4617,414,0.08966861598440545
79,4637,414,0.08928186327366831
80,4652,414,0.08899398108340499
81,4658,414,0.0888793473593817
82,4664,414,0.08876500857632934
83,4668,414,0.08868894601542417
84,4679,414,0.0884804445394315
85,4688,414,0.08831058020477815
86,4697,414,0.08814136682989142
87,4705,414,0.08799149840595112
88,4717,414,0.08776764892940428
89,4757,414,0.08702964052974564
90,4770,414,0.08679245283018867
91,4790,425,0.08872651356993737
92,4804,425,0.08846794338051624
93,4810,425,0.08835758835758836
94,4817,425,0.08822918829146773
95,4836,425,0.08788254755996691
96,4858,425,0.08748456154796212
97,4870,425,0.08726899383983573
98,6027,425,0.07051601128256181
99,6054,425,0.0702015196564255
100,6065,425,0.07007419620774938
101,6074,425,0.0699703654922621
102,6087,425,0.06982092985050106
103,6097,425,0.06970641298999508
104,6111,425,0.06954671903125512
105,6128,425,0.0693537859007833
106,6143,425,0.06918443757121927
107,6158,425,0.06901591425787594
108,6171,425,0.06887052341597796
109,6187,425,0.06869241958946178
110,6201,425,0.06853733268827608
111,6221,426,0.06847773669828001
112,6237,426,0.06830206830206831
113,6256,426,0.06809462915601024
114,6290,426,0.06772655007949126
115,6305,426,0.06756542426645519
116,6329,428,0.06762521725391057
117,6369,428,0.06720050243366306
118,6384,428,0.06704260651629072
119,6406,428,0.06681236340930377
120,6418,428,0.06668744157058273
121,6437,428,0.0664906012117446
122,6458,428,0.06627438835552803
123,6512,428,0.06572481572481573
124,6538,428,0.06546344447843377
125,6564,428,0.06520414381474711
126,6616,428,0.06469165659008465
127,6651,428,0.06435122537964216
128,6691,428,0.06396652219399193
129,6739,428,0.0635109066627096
130,6793,439,0.06462534962461357
131,6836,439,0.06421884142773551
132,6881,439,0.06379886644383084
133,6922,439,0.06342097659635944
134,6972,439,0.0629661503155479
135,7016,439,0.06257126567844926
136,7065,439,0.06213729653220099
137,7112,439,0.06172665916760405
138,7159,439,0.06132141360525213
139,7195,439,0.061014593467685896
140,7242,439,0.06061861364264016
141,7301,441,0.06040268456375839
142,7346,441,0.060032670841274165
143,7392,441,0.05965909090909091
144,7492,441,0.058862786972770954
145,7538,441,0.05850358185195012
146,7579,441,0.05818709592294498
147,7651,441,0.05763952424519671
148,7692,441,0.057332293291731666
149,7730,441,0.05705045278137128
150,7776,441,0.056712962962962965
151,7822,441,0.056379442597801074
152,7877,441,0.05598578138885362
153,7921,441,0.05567478853680091
154,7970,441,0.055332496863237136
155,8010,441,0.0550561797752809
156,8055,441,0.054748603351955305
157,8100,441,0.05444444444444444
158,8152,441,0.05409715407262022
159,8254,441,0.053428640659074385
160,8296,441,0.05315814850530376
161,8342,441,0.05286502037880604
162,8382,441,0.05261274158911954
163,8428,441,0.05232558139534884
164,8472,441,0.052053824362606235
165,8517,441,0.05177879535047552
166,8562,441,0.05150665732305536
167,8603,441,0.05126118795768918
168,8651,441,0.05097676569182753
169,8672,441,0.05085332103321033
170,8683,441,0.05078889784636646
171,8696,441,0.050712971481140755
172,8737,444,0.050818358704360765
173,8756,444,0.05070808588396528
