commit_num,num_votes,num_yes_votes,perc_yes_votes
1,121,39,0.32231404958677684
2,438,157,0.3584474885844749
3,701,278,0.39657631954350925
4,896,278,0.31026785714285715
5,1353,360,0.2660753880266075
6,1400,379,0.27071428571428574
7,1459,404,0.27690198766278273
8,1590,410,0.2578616352201258
9,1610,410,0.2546583850931677
10,1631,414,0.25383200490496627
11,1686,414,0.24555160142348753
12,1786,414,0.23180291153415453
13,1818,427,0.23487348734873487
14,1858,429,0.23089343379978472
15,1875,429,0.2288
16,1900,429,0.22578947368421054
17,1946,429,0.22045220966084275
18,2113,429,0.20302886890676763
19,2161,429,0.19851920407218882
20,2253,447,0.19840213049267644
21,2414,473,0.19594034797017398
22,2417,476,0.1969383533305751
23,2451,476,0.1942064463484292
24,2540,476,0.18740157480314962
25,2579,476,0.18456766188445134
26,3116,979,0.31418485237483956
27,3135,979,0.312280701754386
28,3166,979,0.30922299431459255
29,3382,979,0.2894736842105263
30,3467,999,0.2881453706374387
31,3528,999,0.28316326530612246
32,3611,1000,0.27693159789531985
33,3691,1056,0.28610132755350853
34,3712,1056,0.28448275862068967
35,3737,1056,0.2825796093122826
36,3756,1056,0.28115015974440893
37,3785,1066,0.28163804491413474
38,3808,1066,0.27993697478991597
39,3853,1066,0.27666753179340775
40,3873,1066,0.2752388329460367
41,3906,1066,0.27291346646185355
42,3930,1066,0.2712468193384224
43,4015,1095,0.2727272727272727
44,4035,1095,0.27137546468401486
45,4176,1095,0.26221264367816094
46,4211,1106,0.2626454523866065
47,4228,1106,0.26158940397350994
48,4244,1106,0.2606032045240339
49,4258,1106,0.2597463597933302
50,8974,1106,0.12324492979719189
51,8992,1106,0.1229982206405694
52,8999,1106,0.1229025447271919
53,9006,1106,0.12280701754385964
54,9007,1106,0.12279338292439214
55,9044,1106,0.12229102167182662
56,9062,1124,0.12403442948576474
57,9072,1134,0.125
58,9077,1134,0.12493114465131651
59,9156,1134,0.12385321100917432
60,9176,1134,0.12358326068003488
61,9200,1134,0.1232608695652174
62,9222,1134,0.12296681847755368
63,9243,1134,0.12268743914313535
64,9284,1134,0.12214562688496337
65,9334,1134,0.12149132204842511
66,9352,1134,0.12125748502994012
67,9353,1134,0.121244520474714
68,9357,1134,0.12119268996473229
69,9370,1142,0.12187833511205977
70,9371,1143,0.12197204140433252
71,9381,1153,0.12290800554311906
72,9392,1164,0.12393526405451448
73,9393,1165,0.1240285318854466
74,9398,1170,0.12449457331347095
75,9405,1177,0.12514619883040937
76,9412,1184,0.12579685507862304
77,9420,1192,0.12653927813163482
78,9429,1201,0.12737299819705164
79,9438,1210,0.1282051282051282
80,9449,1221,0.12922002328288706
81,9473,1228,0.12963158450332524
82,9483,1238,0.13054940419698408
83,9490,1245,0.13119072708113805
84,9498,1252,0.13181722467887977
85,9514,1268,0.13327727559386168
86,9526,1280,0.13436909510812514
87,9570,1290,0.13479623824451412
88,9580,1300,0.13569937369519833
89,9589,1309,0.13651058504536448
90,9598,1318,0.1373202750573036
91,9610,1330,0.1383975026014568
92,9619,1339,0.13920365942405655
93,9629,1347,0.13988991587911517
94,9749,1355,0.13898861421684275
95,9754,1360,0.1394299774451507
96,9760,1360,0.13934426229508196
97,9786,1386,0.14163090128755365
98,9792,1391,0.1420547385620915
99,9796,1395,0.14240506329113925
100,9798,1397,0.14258011839150847
101,9800,1399,0.14275510204081632
102,9802,1401,0.14293001428279942
103,9804,1403,0.1431048551611587
104,9868,1407,0.14258208350222942
105,9896,1412,0.14268391269199676
106,9898,1414,0.14285714285714285
107,9900,1416,0.14303030303030304
108,9904,1420,0.14337641357027464
109,9908,1420,0.14331853048041987
110,9932,1440,0.1449859041482078
111,9933,1440,0.14497130776200542
112,9952,1440,0.14469453376205788
113,9996,1440,0.14405762304921968
114,10004,1440,0.1439424230307877
115,10024,1440,0.14365522745411013
116,10078,1440,0.14288549315340346
117,10141,1440,0.14199783058869933
118,10171,1440,0.14157899911513125
119,10219,1440,0.1409139837557491
120,10220,1440,0.14090019569471623
121,10317,1440,0.1395754579819715
122,10360,1440,0.138996138996139
123,10370,1440,0.13886210221793635
124,10422,1440,0.1381692573402418
125,10464,1440,0.13761467889908258
126,10508,1440,0.13703844689760183
127,10543,1469,0.13933415536374846
128,10575,1469,0.13891252955082742
129,10624,1469,0.1382718373493976
130,10637,1469,0.1381028485475228
131,10982,1805,0.1643598615916955
132,12495,3274,0.2620248099239696
133,12730,3290,0.2584446190102121
134,12739,3296,0.25873302457021746
135,12808,3361,0.26241411617738913
136,12818,3363,0.2623654236230301
137,12834,3376,0.2630512700638928
138,12877,3419,0.26551215345189094
139,12889,3419,0.26526495461246025
140,12941,3444,0.26613090178502435
141,12965,3465,0.2672580023139221
142,12977,3467,0.26716498420282037
143,13045,3531,0.2706784208509007
144,13128,3593,0.27368982327848873
145,13133,3596,0.27381405619431964
146,13172,3619,0.2747494685696933
147,13191,3637,0.2757182927753771
148,13202,3646,0.2761702772307226
